name,full_name,private,visibility,fork,stargazers,language,description,topics,private_score,public_score,recommendation,reasons,bun_version,has_ci
comfy_mtb,toxicwind/comfy_mtb,False,public,True,0,Python,Animation oriented nodes pack for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
DankMaterialShell,toxicwind/DankMaterialShell,False,public,True,0,,"Desktop shell for wayland compositors built with Quickshell & GO, optimized for niri, hyprland, sway, MangoWC, labwc, and MiracleWM.",,0.0,10.0,PUBLIC,fork (should be public),,False
demofusion-comfyui,toxicwind/demofusion-comfyui,False,public,True,0,,An experimental implementation of a node that implements Demofusion technique in Comfyui,,0.0,17.0,PUBLIC,contains 'demo' (weight 7); fork (should be public),,False
dk-xbmc-repaddon-rep,toxicwind/dk-xbmc-repaddon-rep,False,public,True,0,Python,Automatically exported from code.google.com/p/dk-xbmc-repaddon-rep,,0.0,10.0,PUBLIC,fork (should be public),,False
Derfuu_ComfyUI_ModdedNodes,toxicwind/Derfuu_ComfyUI_ModdedNodes,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
DZ-FaceDetailer,toxicwind/DZ-FaceDetailer,False,public,True,0,,a node for comfyui for restore/edit/enchance faces utilizing face recognition,,0.0,10.0,PUBLIC,fork (should be public),,False
ControlNet-LLLite-ComfyUI,toxicwind/ControlNet-LLLite-ComfyUI,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
crawlee-python-toxicwind,toxicwind/crawlee-python-toxicwind,False,public,True,0,,"Crawlee—A web scraping and browser automation library for Python to build reliable crawlers. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Parsel, BeautifulSoup, Playwright, and raw HTTP. Both headful and headless mode. With proxy rotation.",,0.0,24.0,PUBLIC,contains 'library' (weight 7); contains 'website' (weight 7); fork (should be public),,False
ComfyUI_VLM_nodes,toxicwind/ComfyUI_VLM_nodes,False,public,True,0,,"Custom ComfyUI nodes for Vision Language Models, Large Language Models, Image to Music, Text to Music, Consistent and Random Creative Prompt Generation",,0.0,10.0,PUBLIC,fork (should be public),,False
hls-proxy-aggregator,toxicwind/hls-proxy-aggregator,False,public,False,0,Python,,,0.0,0.0,NEUTRAL,,,False
grok-prompts,toxicwind/grok-prompts,False,public,True,0,,Prompts for our Grok chat assistant and the `@grok` bot on X.,,0.0,10.0,PUBLIC,fork (should be public),,False
grok-build-plugin-cc,toxicwind/grok-build-plugin-cc,False,public,True,0,,"Claude Code plugin that delegates reviews, rescue tasks, and session transfer to the Grok Build CLI",,0.0,20.0,PUBLIC,contains 'plugin' (weight 6); contains 'cli' (weight 4); fork (should be public),,False
Hybooru,toxicwind/Hybooru,False,public,True,0,,Hydrus-based booru-styled imageboard in React,,0.0,13.0,PUBLIC,contains 'react' (weight 3); fork (should be public),,False
ik_llama.cpp,toxicwind/ik_llama.cpp,False,public,True,0,,llama.cpp fork with additional SOTA quants and improved performance,,0.0,10.0,PUBLIC,fork (should be public),,False
images-grid-comfy-plugin,toxicwind/images-grid-comfy-plugin,False,public,True,0,,A simple comfyUI plugin for images grid (X/Y Plot),,0.0,16.0,PUBLIC,contains 'plugin' (weight 6); fork (should be public),,False
LCM_Inpaint_Outpaint_Comfy,toxicwind/LCM_Inpaint_Outpaint_Comfy,False,public,True,0,,ComfyUI custom nodes for inpainting/outpainting using the new latent consistency model (LCM),,0.0,10.0,PUBLIC,fork (should be public),,False
huh,toxicwind/huh,False,public,False,0,Python,Kimi + Mintlify MCP integration project,,0.0,0.0,NEUTRAL,,,False
llm-prompt-templates,toxicwind/llm-prompt-templates,False,public,True,0,Jinja,Prompt Jinja2 templates for LLMs,,0.0,17.0,PUBLIC,contains 'template' (weight 7); fork (should be public),,False
lora-info,toxicwind/lora-info,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
MagiskOnWSA,toxicwind/MagiskOnWSA,False,public,True,0,,Integrate Magisk root and Google Apps (OpenGApps) into WSA (Windows Subsystem for Android),,0.0,18.0,PUBLIC,contains 'open' (weight 8); fork (should be public),,False
masquerade-nodes-comfyui,toxicwind/masquerade-nodes-comfyui,False,public,True,0,,A powerful set of mask-related nodes for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
mcpproxy-go,toxicwind/mcpproxy-go,False,public,False,0,Go,"Supercharge AI Agents, Safely",,0.0,0.0,NEUTRAL,,,False
MergeBlockWeighted_fo_ComfyUI,toxicwind/MergeBlockWeighted_fo_ComfyUI,False,public,True,0,,The MergeBlockWeighted fo ComfyUI.,,0.0,10.0,PUBLIC,fork (should be public),,False
mikey_nodes,toxicwind/mikey_nodes,False,public,True,0,Python,comfy nodes from mikey,,0.0,10.0,PUBLIC,fork (should be public),,False
llama-cpp-turboquant,toxicwind/llama-cpp-turboquant,False,public,True,0,C++,LLM inference in C/C++,,0.0,10.0,PUBLIC,fork (should be public),,False
mintlify-docs,toxicwind/mintlify-docs,False,public,False,0,MDX,,,0.0,7.0,CONSIDER_PUBLIC,contains 'docs' (weight 7),,False
modelbeats,toxicwind/modelbeats,False,public,True,0,TypeScript,LLM Rankings and Evals Hub,,0.0,10.0,PUBLIC,fork (should be public),,False
mpos_ufc,toxicwind/mpos_ufc,False,public,True,0,PHP,mpos for UFC Pool,,0.0,10.0,PUBLIC,fork (should be public),,False
moneypot,toxicwind/moneypot,False,public,True,0,,The social gambling game,,0.0,10.0,PUBLIC,fork (should be public),,False
neo-osint,toxicwind/neo-osint,False,public,False,0,,OSINT deep dive: neo Brilliant Berry FUKUOKA STRAWBERRY - Gatekeeper Protocol,,0.0,0.0,NEUTRAL,,,False
nim-inkling-api-research,toxicwind/nim-inkling-api-research,False,public,False,0,Go,"Research-grade tooling for evaluating NVIDIA NIM API compatibility, parameter discovery, and inference latency characterization for thinkingmachines/inkling",,0.0,4.0,CONSIDER_PUBLIC,contains 'tool' (weight 4),,False
niri,toxicwind/niri,False,public,True,0,Rust,A scrollable-tiling Wayland compositor.,,0.0,10.0,PUBLIC,fork (should be public),,False
freecoins,toxicwind/freecoins,False,public,True,0,JavaScript,The source code for the FreeCoins bitcoin faucet,,0.0,10.0,PUBLIC,fork (should be public),,False
FreeU_Advanced,toxicwind/FreeU_Advanced,False,public,True,0,,"FreeU - Free Lunch, and Dinner. ",,0.0,10.0,PUBLIC,fork (should be public),,False
GFPGAN,toxicwind/GFPGAN,False,public,True,0,,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,,0.0,10.0,PUBLIC,fork (should be public),,False
greprip,toxicwind/greprip,False,public,True,1,Python,Transparent grep/find → rg/fd translators for LLM coding agents,,0.0,10.0,PUBLIC,fork (should be public),,False
grok-1,toxicwind/grok-1,False,public,True,0,,Grok open release,,0.0,18.0,PUBLIC,contains 'open' (weight 8); fork (should be public),,False
grok-build,toxicwind/grok-build,False,public,True,0,Rust,"SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.",,0.0,10.0,PUBLIC,fork (should be public),,False
efficiency-nodes-comfyui-updates,toxicwind/efficiency-nodes-comfyui-updates,False,public,True,2,Python,A collection of ComfyUI custom nodes. ⚠️ WARNING: This repo is no longer maintained.,,0.0,10.0,PUBLIC,fork (should be public),,False
electrum-cracker,toxicwind/electrum-cracker,False,public,True,1,Python,bruteforcer for the 12 word brainwallet system of the electrum wallet,,0.0,10.0,PUBLIC,fork (should be public),,False
Comfy_KepMatteAnything,toxicwind/Comfy_KepMatteAnything,False,public,True,0,Python,WIP implementation of hustvl/Matte-Anything in ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
paintball-field,toxicwind/paintball-field,False,public,False,0,Python,,,0.0,0.0,NEUTRAL,,,False
p2pool-rav,toxicwind/p2pool-rav,False,public,True,0,Python,Peer-to-peer Bitcoin mining pool,,0.0,10.0,PUBLIC,fork (should be public),,False
optimized-cr3-repo,toxicwind/optimized-cr3-repo,False,public,False,0,Java,,,0.0,0.0,NEUTRAL,,,False
openclaw,toxicwind/openclaw,False,public,True,0,TypeScript,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,,0.0,18.0,PUBLIC,contains 'open' (weight 8); fork (should be public),,False
NodeGPT,toxicwind/NodeGPT,False,public,True,0,,ComfyUI Extension Nodes for Automated Text Generation.,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
omp-extensions,toxicwind/omp-extensions,False,public,True,0,TypeScript,Monorepo of oh-my-pi (omp) extensions by RekunDzmitry,,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
nitrado_api_lib,toxicwind/nitrado_api_lib,False,public,False,0,Python,Nitrado API Python client fork used by dayz_discord_ops,,0.0,4.0,CONSIDER_PUBLIC,contains 'cli' (weight 4),,False
nitrado_api,toxicwind/nitrado_api,False,public,True,0,Python,Python module to interact with Nitrado API endpoints,,0.0,14.0,PUBLIC,contains 'module' (weight 4); fork (should be public),,False
musepool,toxicwind/musepool,False,public,False,0,,"Async-aware process pool with mutative scheduling, CDN-aware package resolution, and sovereign-pi integration hooks.",,0.0,4.0,CONSIDER_PUBLIC,contains 'package' (weight 4),,False
py-agent-gateway,toxicwind/py-agent-gateway,False,public,False,0,,"🚀 Python SDK for building multi-agent gateways — async, pluggable, production-ready",,0.0,7.0,CONSIDER_PUBLIC,contains 'sdk' (weight 7),,False
public-research,toxicwind/public-research,False,public,True,0,Python,DDoS botnet research and indicators of compromise from Nokia Deepfield ERT,,0.0,20.0,PUBLIC,contains 'public' (weight 10); fork (should be public),,False
PeercoinBlockExplorer,toxicwind/PeercoinBlockExplorer,False,public,True,0,PHP,Peercoin Block Chain Viewer - written in php and used JSON RPC calls,,0.0,10.0,PUBLIC,fork (should be public),,False
pitchfork,toxicwind/pitchfork,False,public,True,0,,Daemons with DX,,0.0,10.0,PUBLIC,fork (should be public),,False
plugin-marketplace,toxicwind/plugin-marketplace,False,public,True,0,,Official xAI plugin marketplace,,0.0,16.0,PUBLIC,contains 'plugin' (weight 6); fork (should be public),,False
php-mpos,toxicwind/php-mpos,False,public,True,0,PHP,MPOS stands for Mining Portal Open Source. A unified mining interface for various Scrypt and SHA256d Crypto-currencies!,,0.0,18.0,PUBLIC,contains 'open' (weight 8); fork (should be public),,False
pi-subagents,toxicwind/pi-subagents,False,public,True,0,,"Pi extension for async subagent delegation with truncation, artifacts, and session sharing",,0.0,15.0,PUBLIC,contains 'extension' (weight 5); fork (should be public),,False
Scrapling-toxicwind,toxicwind/Scrapling-toxicwind,False,public,True,0,,🕷️ An adaptive Web Scraping framework that handles everything from a single request to a full-scale crawl!,,0.0,10.0,PUBLIC,fork (should be public),,False
RSSLive,toxicwind/RSSLive,False,public,False,0,Java,,,0.0,0.0,NEUTRAL,,,False
sd-dynamic-thresholding,toxicwind/sd-dynamic-thresholding,False,public,True,0,,"Dynamic Thresholding (CFG Scale Fix) for Stable Diffusion (StableSwarmUI, ComfyUI, and Auto WebUI)",,0.0,10.0,PUBLIC,fork (should be public),,False
SD-Latent-Interposer,toxicwind/SD-Latent-Interposer,False,public,True,0,,A small neural network to provide interoperability between the latents generated by the different Stable Diffusion models.,,0.0,10.0,PUBLIC,fork (should be public),,False
sdxl_prompt_styler,toxicwind/sdxl_prompt_styler,False,public,True,0,,Custom prompt styler node for SDXL in ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
segment-anything,toxicwind/segment-anything,False,public,True,0,,"The repository provides code for running inference with the SegmentAnything Model (SAM), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.",,0.0,17.0,PUBLIC,contains 'example' (weight 7); fork (should be public),,False
SD-Latent-Upscaler,toxicwind/SD-Latent-Upscaler,False,public,True,0,,Upscaling stable diffusion latents using a small neural network.,,0.0,10.0,PUBLIC,fork (should be public),,False
sd-model-manager,toxicwind/sd-model-manager,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
skillforge,toxicwind/skillforge,False,public,False,0,,Universal skill packaging for AI agents,,0.0,6.0,CONSIDER_PUBLIC,contains 'skill' (weight 6),,False
SimpleLTC,toxicwind/SimpleLTC,False,public,True,0,PHP,simplecoin pushpool frontend - tweaked for LTC mining,,0.0,14.0,PUBLIC,contains 'frontend' (weight 4); fork (should be public),,False
py-compat-scan,toxicwind/py-compat-scan,False,public,False,0,Python,Python 3.12+ to 3.11/3.8 AST compatibility scanner. Detects syntax that requires 3.12+ and suggests fallbacks.,,0.0,0.0,NEUTRAL,,,False
python-script-collection,toxicwind/python-script-collection,False,public,False,0,,,,0.0,0.0,NEUTRAL,,,False
python-sdk-auditor,toxicwind/python-sdk-auditor,False,public,False,0,Python,"Deep-audit any Python package: full API maps, comment/TODO harvest, obfuscation scan — AST with py2/3.8-3.11 regex fallback",,0.0,11.0,PUBLIC,contains 'sdk' (weight 7); contains 'package' (weight 4),,False
rgthree-comfy,toxicwind/rgthree-comfy,False,public,True,0,,Making ComfyUI more comfortable!,,0.0,10.0,PUBLIC,fork (should be public),,False
PowerNoiseSuite,toxicwind/PowerNoiseSuite,False,public,True,0,,Power Noise Suite for ComfyUI is a latent noise oriented custom_node for variation in your generations,,0.0,10.0,PUBLIC,fork (should be public),,False
process-compose,toxicwind/process-compose,False,public,True,0,,Process Compose is a simple and flexible scheduler and orchestrator to manage non-containerized applications.,,0.0,10.0,PUBLIC,fork (should be public),,False
srl-nodes,toxicwind/srl-nodes,False,public,True,0,Python,A collection of nodes for ComfyUI,,0.0,10.0,PUBLIC,fork (should be public),,False
sovereign-zed,toxicwind/sovereign-zed,False,public,True,0,Rust,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.",,0.0,10.0,PUBLIC,fork (should be public),,False
sovereign-skills,toxicwind/sovereign-skills,False,public,False,0,JavaScript,Kimi-style skill definitions and agent orchestration patterns. Extensible skill framework for LLM agent swarms.,,0.0,12.0,PUBLIC,contains 'skill' (weight 6); contains 'skills' (weight 6),,False
sovereign-projects,toxicwind/sovereign-projects,False,public,False,0,TypeScript,Maximal sovereign workspace layer and monorepo,,0.0,0.0,NEUTRAL,,,False
sleth,toxicwind/sleth,False,public,True,0,JavaScript,sleth: Ethereum Slot Machine DApp,,0.0,10.0,PUBLIC,fork (should be public),,False
sovereign,toxicwind/sovereign,False,public,False,0,TypeScript,,,0.0,0.0,NEUTRAL,,,False
stability-ComfyUI-nodes,toxicwind/stability-ComfyUI-nodes,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
stable-diffusion-prompt-reader,toxicwind/stable-diffusion-prompt-reader,False,public,True,0,,A simple standalone viewer for reading prompts from Stable Diffusion generated image outside the webui.,,0.0,10.0,PUBLIC,fork (should be public),,False
tau,toxicwind/tau,False,public,False,0,TypeScript,"τ (tau) — The sovereign agent framework. Multi-language, multi-model, fully autonomous.",,0.0,0.0,NEUTRAL,,,False
tinker-cookbook,toxicwind/tinker-cookbook,False,public,True,0,,Post-training with Tinker,,0.0,10.0,PUBLIC,fork (should be public),,False
toxic-vault-mind,toxicwind/toxic-vault-mind,False,public,False,0,JavaScript,Fork of pi-vault-mind - Passive Obsidian vault extension for pi agent ecosystem,,0.0,5.0,CONSIDER_PUBLIC,contains 'extension' (weight 5),,False
tribeca,toxicwind/tribeca,False,public,True,0,TypeScript,A very low latency cryptocurrency market making trading bot built using node.js,,0.0,10.0,PUBLIC,fork (should be public),,False
strudel-dev-vite,toxicwind/strudel-dev-vite,False,public,False,0,TypeScript,,,0.0,0.0,NEUTRAL,,,False
stratum-mining-maxcoin,toxicwind/stratum-mining-maxcoin,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
style_aligned_comfy,toxicwind/style_aligned_comfy,False,public,True,0,,,,0.0,10.0,PUBLIC,fork (should be public),,False
tabbyAPI,toxicwind/tabbyAPI,False,public,True,0,,An OAI compatible exllamav2 API that's both lightweight and fast,,0.0,10.0,PUBLIC,fork (should be public),,False
was-node-suite-comfyui,toxicwind/was-node-suite-comfyui,False,public,True,0,Jupyter Notebook,An extensive node suite for ComfyUI with over 190 new nodes,,0.0,10.0,PUBLIC,fork (should be public),,False
vllm,toxicwind/vllm,False,public,True,0,Python,A high-throughput and memory-efficient inference and serving engine for LLMs,,0.0,10.0,PUBLIC,fork (should be public),,False
universal-search-fuzzer,toxicwind/universal-search-fuzzer,False,public,False,0,,Multi-source search router with smart fallback,,0.0,0.0,NEUTRAL,,,False
ultimate-upscale-for-automatic1111,toxicwind/ultimate-upscale-for-automatic1111,False,public,True,0,Python,,,0.0,10.0,PUBLIC,fork (should be public),,False
WhiteSur-gtk-theme,toxicwind/WhiteSur-gtk-theme,False,public,True,0,SCSS,MacOS like theme for all gtk based desktops,,0.0,10.0,PUBLIC,fork (should be public),,False
wii-stream-pack,toxicwind/wii-stream-pack,False,public,False,0,,Wii-esque game streaming and management system. WiiBridge + Wii Menu-styled dashboard.,,0.0,0.0,NEUTRAL,,,False
WhiteSur-firefox-theme,toxicwind/WhiteSur-firefox-theme,False,public,True,0,,Mac OS Safari theme for Firefox on Linux,,0.0,10.0,PUBLIC,fork (should be public),,False
WAS_Extras,toxicwind/WAS_Extras,False,public,True,0,,"Experimental nodes, or other random extra helper nodes.",,0.0,10.0,PUBLIC,fork (should be public),,False
wlsh_nodes,toxicwind/wlsh_nodes,False,public,True,0,Python,WLSH ComfyUI Nodes,,0.0,10.0,PUBLIC,fork (should be public),,False
wllama,toxicwind/wllama,False,public,True,0,,WebAssembly binding for llama.cpp - Enabling on-browser LLM inference,,0.0,10.0,PUBLIC,fork (should be public),,False
x-algorithm,toxicwind/x-algorithm,False,public,True,0,,Algorithm powering the For You feed on X,,0.0,10.0,PUBLIC,fork (should be public),,False
xai-cookbook,toxicwind/xai-cookbook,False,public,True,0,,"A collection of pragmatic, real-world examples guiding you from basic to advanced use of xAI's Grok APIs.",,0.0,17.0,PUBLIC,contains 'example' (weight 7); fork (should be public),,False
xai-sdk-python,toxicwind/xai-sdk-python,False,public,True,0,,The official Python SDK for the xAI API,,0.0,17.0,PUBLIC,contains 'sdk' (weight 7); fork (should be public),,False
xai-proto,toxicwind/xai-proto,False,public,True,0,,Public protobuf definitions for xAI's gRPC APIs,,0.0,20.0,PUBLIC,contains 'public' (weight 10); fork (should be public),,False
yk-node-suite-comfyui,toxicwind/yk-node-suite-comfyui,False,public,True,0,,y.k.'s comfyui node suite,,0.0,10.0,PUBLIC,fork (should be public),,False
zedra,toxicwind/zedra,False,public,True,0,Rust,Remote control for AI coding agents. Rust + GPUI + QUIC/UDP. Available on iOS/Android,,0.0,10.0,PUBLIC,fork (should be public),,False
